iso_code,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,InfectRate
PRY,17.144000000000002,26.5,6.377999999999999,3.833,8827.01,199.128,8.27,5.0,21.6,79.602,1.3,0.01191722993103429
PSE,778.202,20.4,3.043,1.726,4449.898,265.91,10.59,0.1,7.7,50.07239772727275,0.1,0.011800645154208166
QAT,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,50.07239772727275,1.2,1.465189895385726
ROU,85.12899999999999,43.0,17.85,11.69,23313.199,370.94599999999997,9.74,22.9,37.1,50.07239772727275,6.892,0.09282303346109995
RUS,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,431.29699999999997,6.18,23.4,58.3,50.07239772727275,8.05,0.230159483921755
RWA,494.869,20.3,2.9739999999999998,1.642,1854.211,191.375,4.28,4.7,21.0,4.617,0.1,0.0025092244882706878
SAU,15.322000000000001,31.9,3.295,1.845,49045.41099999999,259.538,17.72,1.8,25.4,50.07239772727275,2.7,0.20153176319079982
SDN,23.258000000000003,19.7,3.548,2.0340000000000003,4466.5070000000005,431.38800000000003,15.67,0.1,7.7,23.436999999999998,0.8,0.008273798133328061
SEN,82.32799999999999,18.7,3.008,1.796,2470.58,241.21900000000002,2.42,0.4,16.6,20.859,0.1,0.017773605121378315
SGP,7915.731,42.4,12.922,7.0489999999999995,85535.383,92.243,10.99,5.2,28.3,50.07239772727275,2.4,0.5310457865461905
SLE,104.7,19.1,2.5380000000000003,1.285,1390.3,325.721,2.42,8.8,41.3,19.275,0.1,0.007784896173178212
SLV,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,167.295,8.87,2.5,18.8,90.65,1.3,0.028044150959860785
SRB,80.291,41.2,17.366,5.517348837209303,14048.881000000001,439.415,10.08,37.7,40.2,97.719,5.609,0.16300747318430073
STP,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,270.113,2.42,0.1,7.7,41.34,2.9,0.1327790984709871
SUR,3.612,29.6,6.933,4.229,13767.118999999999,258.314,12.54,7.4,42.9,67.779,3.1,0.0018751044092227861
SVK,113.12799999999999,41.2,15.07,9.167,30155.152000000002,287.959,7.29,23.1,37.7,50.07239772727275,5.82,0.027547588734281706
